
3D-HTM Software: Decoder Version [16.0] based on HM Version [16.7][Windows][VS 1916][64 bit] 
Layer  0   POC    0 TId: 0 ( i-SLICE, QP 40 ) [DT  0.044] [L0 ] [L1 ] [:,(unk)] 
Layer  1   POC    0 TId: 0 ( i-SLICE, QP 45 ) [DT  0.008] [L0 ] [L1 ] [:,(unk)] 
Layer  2   POC    0 TId: 0 ( p-SLICE, QP 43 ) [DT  0.025] [L0 V0 ] [L1 ] [:,(unk)] 
Layer  3   POC    0 TId: 0 ( p-SLICE, QP 48 ) [DT  0.010] [L0 V1 ] [L1 ] [:,(unk)] 
Layer  4   POC    0 TId: 0 ( p-SLICE, QP 43 ) [DT  0.021] [L0 V0 ] [L1 ] [:,(unk)] 
Layer  5   POC    0 TId: 0 ( p-SLICE, QP 48 ) [DT  0.010] [L0 V1 ] [L1 ] [:,(unk)] 
Layer  0   POC    8 TId: 0 ( b-SLICE, QP 41 ) [DT  0.026] [L0 0 ] [L1 0 ] [:,(unk)] 
Layer  1   POC    8 TId: 0 ( b-SLICE, QP 46 ) [DT  0.009] [L0 0 ] [L1 0 ] [:,(unk)] 
Layer  2   POC    8 TId: 0 ( b-SLICE, QP 44 ) [DT  0.035] [L0 0 V0 ] [L1 0 V0 ] [:,(unk)] 
Layer  3   POC    8 TId: 0 ( b-SLICE, QP 49 ) [DT  0.011] [L0 0 V1 ] [L1 0 V1 ] [:,(unk)] 
Layer  4   POC    8 TId: 0 ( b-SLICE, QP 44 ) [DT  0.037] [L0 0 V0 ] [L1 0 V0 ] [:,(unk)] 
Layer  5   POC    8 TId: 0 ( b-SLICE, QP 49 ) [DT  0.011] [L0 0 V1 ] [L1 0 V1 ] [:,(unk)] 
Layer  0   POC    4 TId: 0 ( b-SLICE, QP 42 ) [DT  0.016] [L0 0 8 ] [L1 8 0 ] [:,(unk)] 
Layer  1   POC    4 TId: 0 ( b-SLICE, QP 47 ) [DT  0.013] [L0 0 8 ] [L1 8 0 ] [:,(unk)] 
Layer  2   POC    4 TId: 0 ( b-SLICE, QP 45 ) [DT  0.020] [L0 0 V0 8 ] [L1 8 0 V0 ] [:,(unk)] 
Layer  3   POC    4 TId: 0 ( b-SLICE, QP 50 ) [DT  0.013] [L0 0 V1 8 ] [L1 8 0 V1 ] [:,(unk)] 
Layer  4   POC    4 TId: 0 ( b-SLICE, QP 45 ) [DT  0.021] [L0 0 V0 8 ] [L1 8 0 V0 ] [:,(unk)] 
Layer  5   POC    4 TId: 0 ( b-SLICE, QP 50 ) [DT  0.014] [L0 0 V1 8 ] [L1 8 0 V1 ] [:,(unk)] 
Layer  0   POC    2 TId: 0 ( b-SLICE, QP 43 ) [DT  0.027] [L0 0 4 ] [L1 4 8 ] [:,(unk)] 
Layer  1   POC    2 TId: 0 ( b-SLICE, QP 48 ) [DT  0.013] [L0 0 4 ] [L1 4 8 ] [:,(unk)] 
Layer  2   POC    2 TId: 0 ( b-SLICE, QP 46 ) [DT  0.032] [L0 0 V0 4 ] [L1 4 8 0 ] [:,(unk)] 
Layer  3   POC    2 TId: 0 ( b-SLICE, QP 51 ) [DT  0.014] [L0 0 V1 4 ] [L1 4 8 0 ] [:,(unk)] 
Layer  4   POC    2 TId: 0 ( b-SLICE, QP 46 ) [DT  0.033] [L0 0 V0 4 ] [L1 4 8 0 ] [:,(unk)] 
Layer  5   POC    2 TId: 0 ( b-SLICE, QP 51 ) [DT  0.014] [L0 0 V1 4 ] [L1 4 8 0 ] [:,(unk)] 
Layer  0   POC    1 TId: 0 ( b-SLICE, QP 44 ) [DT  0.022] [L0 0 2 ] [L1 2 4 ] [:,(unk)] 
Layer  1   POC    1 TId: 0 ( b-SLICE, QP 49 ) [DT  0.013] [L0 0 2 ] [L1 2 4 ] [:,(unk)] 
Layer  2   POC    1 TId: 0 ( b-SLICE, QP 47 ) [DT  0.028] [L0 0 V0 2 ] [L1 2 4 8 ] [:,(unk)] 
Layer  3   POC    1 TId: 0 ( b-SLICE, QP 51 ) [DT  0.014] [L0 0 V1 2 ] [L1 2 4 8 ] [:,(unk)] 
Layer  4   POC    1 TId: 0 ( b-SLICE, QP 47 ) [DT  0.027] [L0 0 V0 2 ] [L1 2 4 8 ] [:,(unk)] 
Layer  5   POC    1 TId: 0 ( b-SLICE, QP 51 ) [DT  0.014] [L0 0 V1 2 ] [L1 2 4 8 ] [:,(unk)] 
Layer  0   POC    3 TId: 0 ( b-SLICE, QP 44 ) [DT  0.022] [L0 2 0 ] [L1 4 8 ] [:,(unk)] 
Layer  1   POC    3 TId: 0 ( b-SLICE, QP 49 ) [DT  0.013] [L0 2 0 ] [L1 4 8 ] [:,(unk)] 
Layer  2   POC    3 TId: 0 ( b-SLICE, QP 47 ) [DT  0.027] [L0 2 0 V0 ] [L1 4 8 2 ] [:,(unk)] 
Layer  3   POC    3 TId: 0 ( b-SLICE, QP 51 ) [DT  0.013] [L0 2 0 V1 ] [L1 4 8 2 ] [:,(unk)] 
Layer  4   POC    3 TId: 0 ( b-SLICE, QP 47 ) [DT  0.027] [L0 2 0 V0 ] [L1 4 8 2 ] [:,(unk)] 
Layer  5   POC    3 TId: 0 ( b-SLICE, QP 51 ) [DT  0.013] [L0 2 0 V1 ] [L1 4 8 2 ] [:,(unk)] 
Layer  0   POC    6 TId: 0 ( b-SLICE, QP 43 ) [DT  0.028] [L0 4 2 ] [L1 8 4 ] [:,(unk)] 
Layer  1   POC    6 TId: 0 ( b-SLICE, QP 48 ) [DT  0.013] [L0 4 2 ] [L1 8 4 ] [:,(unk)] 
Layer  2   POC    6 TId: 0 ( b-SLICE, QP 46 ) [DT  0.033] [L0 4 2 V0 ] [L1 8 4 2 ] [:,(unk)] 
Layer  3   POC    6 TId: 0 ( b-SLICE, QP 51 ) [DT  0.013] [L0 4 2 V1 ] [L1 8 4 2 ] [:,(unk)] 
Layer  4   POC    6 TId: 0 ( b-SLICE, QP 46 ) [DT  0.032] [L0 4 2 V0 ] [L1 8 4 2 ] [:,(unk)] 
Layer  5   POC    6 TId: 0 ( b-SLICE, QP 51 ) [DT  0.013] [L0 4 2 V1 ] [L1 8 4 2 ] [:,(unk)] 
Layer  0   POC    5 TId: 0 ( b-SLICE, QP 44 ) [DT  0.021] [L0 4 0 ] [L1 6 8 ] [:,(unk)] 
Layer  1   POC    5 TId: 0 ( b-SLICE, QP 49 ) [DT  0.013] [L0 4 0 ] [L1 6 8 ] [:,(unk)] 
